order_id,customer_id,order_date,payment_method,marketing_channel,total_amount
58,1444,2023-04-25,Bank Transfer,Email,327.6
59,1249,2023-02-13,PayPal,Paid Ads,269.41
60,1470,2024-02-15,Bank Transfer,Referral,138.91
61,1721,2024-08-21,PayPal,Social Media,216.86
62,1124,2023-08-07,Bank Transfer,Social Media,279.49
63,1253,2024-11-18,Bank Transfer,Social Media,359.26
64,108,2023-11-30,PayPal,Email,213.36
65,414,2024-12-21,PayPal,Referral,336.58
66,1581,2024-09-26,Card,Social Media,440.89
67,1402,2024-11-10,Bank Transfer,Email,465.75
68,102,2024-11-27,Card,Organic,260.63
69,367,2024-05-17,PayPal,Paid Ads,109.79
70,114,2023-06-16,Bank Transfer,Paid Ads,438.95
71,1024,2024-01-22,Card,Paid Ads,343.89
72,1564,2023-05-06,Bank Transfer,Organic,418.59
73,1206,2024-09-26,Card,Email,109.48
74,1644,2024-07-17,PayPal,Paid Ads,458.48
75,11,2024-06-16,PayPal,Paid Ads,289.58
76,1415,2024-07-23,Card,Organic,319.6
77,1303,2023-05-05,Bank Transfer,Organic,180.31
78,129,2024-03-23,Bank Transfer,Referral,433.66
79,1844,2024-05-15,Card,Email,291.02
80,209,2024-02-19,Card,Email,147.36
81,1753,2024-04-09,Bank Transfer,Referral,207.31
82,1750,2023-10-21,PayPal,Social Media,489.53
83,1867,2023-09-06,PayPal,Email,222.23
84,1433,2024-01-19,Bank Transfer,Referral,96.46
85,1777,2023-05-06,PayPal,Email,179.38
86,113,2023-05-04,Card,Paid Ads,333.63
87,466,2024-04-30,Card,Paid Ads,371.96
88,1197,2024-02-10,Card,Organic,430.67
89,1105,2023-06-03,PayPal,Social Media,337.52
90,241,2024-12-10,PayPal,Social Media,288.95
91,989,2023-04-02,PayPal,Paid Ads,117.87
92,651,2024-02-10,Card,Email,149.84
93,1554,2024-05-22,Bank Transfer,Email,95.28
94,747,2023-09-29,Bank Transfer,Email,441.04
95,434,2024-09-23,Bank Transfer,Social Media,282.75
96,484,2023-03-26,Card,Referral,364.88
97,517,2024-12-30,Card,Organic,160.74
98,1095,2024-04-01,Card,Social Media,491.96
99,252,2024-11-09,Bank Transfer,Organic,394.12
100,79,2023-09-24,Card,Paid Ads,192.56
101,1504,2024-11-09,Bank Transfer,Referral,261.9
102,480,2024-07-03,PayPal,Paid Ads,53.17
103,424,2023-11-06,PayPal,Social Media,65.29
104,728,2023-06-05,Bank Transfer,Social Media,47.13
105,642,2024-05-23,Bank Transfer,Paid Ads,369.97
106,1720,2023-10-03,Bank Transfer,Paid Ads,76.03
107,1712,2023-05-20,Bank Transfer,Referral,293.48
108,1510,2023-05-30,Card,Referral,144.89
109,1471,2024-12-21,Bank Transfer,Social Media,74.45
110,1261,2024-10-19,Card,Referral,335.12
111,1714,2024-02-10,PayPal,Social Media,184.64
112,36,2024-11-04,PayPal,Referral,204.05
113,845,2024-07-30,PayPal,Email,414.94
114,395,2024-09-08,PayPal,Referral,222.12
115,397,2023-10-22,Card,Email,52.06
116,1982,2024-12-30,PayPal,Paid Ads,124.9
117,1728,2024-03-14,PayPal,Paid Ads,332.66
118,945,2024-05-21,Bank Transfer,Email,23.97
119,1574,2024-07-22,PayPal,Social Media,344.83
120,1205,2024-02-28,Bank Transfer,Referral,52.75
121,1198,2024-01-17,Bank Transfer,Referral,391.52
122,458,2024-11-16,PayPal,Email,407.74
123,1583,2023-12-30,Bank Transfer,Social Media,288.56
124,1922,2024-05-01,Card,Paid Ads,213.81
125,1710,2024-08-26,PayPal,Referral,356.36
126,169,2024-01-15,Card,Organic,212.9
127,425,2024-01-27,Bank Transfer,Social Media,124.41
128,1658,2024-12-10,PayPal,Email,174.19
129,435,2023-12-27,PayPal,Email,117.61
130,1483,2024-08-02,PayPal,Email,268.78
131,1476,2023-07-01,PayPal,Referral,72.85
132,1580,2023-05-28,Card,Paid Ads,497.18
133,1161,2024-10-21,PayPal,Referral,447.63
134,1717,2024-06-10,Bank Transfer,Organic,382.74
135,1795,2023-06-16,PayPal,Email,175.26
136,771,2024-11-01,PayPal,Email,85.96
137,1278,2023-12-07,PayPal,Organic,231.07
138,1198,2023-12-02,PayPal,Organic,487.41
139,1990,2023-12-28,PayPal,Organic,244.17
140,839,2024-11-25,PayPal,Paid Ads,258.19
141,1550,2023-07-25,PayPal,Referral,154.15
142,762,2023-05-11,Card,Paid Ads,410.14
143,225,2024-11-29,PayPal,Social Media,479.37
144,93,2023-01-30,Bank Transfer,Email,489.44
145,888,2024-09-30,PayPal,Email,240.63
146,484,2023-02-19,Bank Transfer,Social Media,169.92
147,890,2024-07-19,Bank Transfer,Paid Ads,459.9
148,1668,2024-06-11,Card,Organic,111.44
149,650,2023-07-13,PayPal,Referral,300.6
150,1436,2024-04-14,PayPal,Organic,331.24
151,1492,2024-08-05,PayPal,Social Media,403.94
152,1369,2023-09-20,Card,Organic,473.87
153,1617,2023-08-09,Card,Email,499.43
154,563,2023-12-27,Bank Transfer,Referral,293.96
155,1303,2023-01-19,Card,Paid Ads,299.5
156,1363,2023-12-27,PayPal,Paid Ads,212.49
157,1486,2024-07-05,Bank Transfer,Organic,432.35
158,527,2024-12-16,Bank Transfer,Referral,40.2
159,1851,2024-03-18,Card,Organic,412.82
160,1759,2023-02-14,Card,Paid Ads,197.1
161,215,2024-11-26,Bank Transfer,Social Media,495.76
162,1524,2024-07-03,PayPal,Referral,82.36
163,203,2024-02-11,Card,Organic,36.55
164,1088,2023-04-08,Card,Referral,470.51
165,750,2023-07-04,PayPal,Organic,287.45
166,1321,2024-11-01,PayPal,Referral,291.2
167,1002,2023-07-24,Bank Transfer,Organic,122.6
168,1957,2023-01-10,PayPal,Paid Ads,398.07
169,415,2023-07-29,Card,Paid Ads,449.89
170,1568,2024-04-02,Card,Organic,429.85
171,820,2024-07-07,PayPal,Social Media,350.66
172,827,2024-03-18,PayPal,Email,278.17
173,728,2023-10-22,Bank Transfer,Social Media,288.12
174,1923,2024-10-31,PayPal,Social Media,432.82
175,1008,2024-04-17,PayPal,Organic,197.76
176,706,2024-05-23,Card,Social Media,313.32
177,1624,2023-07-01,PayPal,Social Media,58.15
178,1283,2024-02-24,Bank Transfer,Referral,179.36
179,1941,2024-03-21,Bank Transfer,Referral,418.67
180,172,2023-01-05,Bank Transfer,Social Media,301.63
181,878,2023-02-05,PayPal,Organic,468.57
182,674,2023-01-03,PayPal,Organic,493.33
183,1808,2023-01-15,PayPal,Social Media,236.0
184,502,2024-06-17,PayPal,Organic,55.0
185,1303,2023-08-04,Bank Transfer,Email,250.13
186,1604,2024-03-20,PayPal,Referral,233.87
187,1518,2024-09-06,Card,Email,374.87
188,1369,2023-05-10,Card,Paid Ads,249.17
189,45,2024-06-03,Card,Email,112.54
190,668,2024-03-20,Bank Transfer,Email,188.06
191,194,2023-05-10,Card,Referral,331.23
192,1248,2023-06-02,Card,Referral,493.65
193,1740,2024-04-15,Card,Paid Ads,398.97
194,875,2024-12-29,PayPal,Email,35.73
195,550,2023-10-08,Bank Transfer,Email,424.58
196,478,2024-01-09,Card,Paid Ads,353.83
197,648,2024-11-02,Card,Paid Ads,235.88
198,578,2023-01-02,PayPal,Paid Ads,173.02
199,1137,2023-11-03,PayPal,Referral,370.51
200,421,2024-09-26,PayPal,Social Media,250.14
201,1336,2024-01-18,Bank Transfer,Email,298.17
202,1659,2023-02-19,Bank Transfer,Referral,254.3
203,223,2024-07-07,PayPal,Email,113.56
204,1210,2023-12-21,Card,Paid Ads,436.76
205,964,2023-02-20,Bank Transfer,Social Media,347.92
206,801,2023-11-02,Card,Paid Ads,57.17
207,1055,2023-01-27,Card,Social Media,405.21
208,1075,2023-03-19,Bank Transfer,Referral,109.89
209,1274,2023-01-02,Bank Transfer,Referral,98.18
210,768,2023-02-26,PayPal,Referral,45.81
211,1798,2024-03-20,PayPal,Referral,180.48
212,1668,2024-09-27,Card,Email,114.05
213,114,2024-09-18,PayPal,Email,123.77
214,451,2024-09-28,PayPal,Email,244.97
215,726,2023-10-08,Card,Organic,219.36
216,773,2023-09-16,PayPal,Paid Ads,430.08
217,632,2023-12-06,Card,Paid Ads,225.5
218,290,2023-04-11,PayPal,Referral,101.44
219,1116,2023-10-22,PayPal,Email,390.6
220,1432,2023-05-03,PayPal,Email,323.59
221,1100,2024-10-10,Bank Transfer,Organic,323.24
222,736,2024-06-06,Bank Transfer,Paid Ads,57.45
223,837,2023-04-10,Card,Email,93.67
224,378,2023-12-17,PayPal,Paid Ads,415.64
225,491,2024-02-20,Card,Social Media,320.4
226,301,2023-04-13,PayPal,Referral,481.26
227,940,2024-09-28,Bank Transfer,Email,314.18
228,1409,2023-01-13,Bank Transfer,Referral,261.99
229,1659,2023-02-01,Card,Paid Ads,357.5
230,250,2023-10-20,Bank Transfer,Social Media,48.27
231,358,2024-12-08,Bank Transfer,Referral,438.11
232,1614,2024-05-15,Bank Transfer,Paid Ads,237.32
233,963,2023-02-21,Card,Organic,133.06
234,467,2023-04-27,PayPal,Email,263.91
235,495,2023-07-14,PayPal,Referral,101.58
236,1039,2023-10-18,PayPal,Paid Ads,390.11
237,66,2024-01-23,Card,Organic,184.29
238,602,2024-08-22,Bank Transfer,Paid Ads,392.34
239,514,2024-02-01,Card,Paid Ads,322.36
240,1598,2024-02-28,Card,Referral,321.06
241,440,2023-03-06,PayPal,Referral,183.65
242,1363,2023-07-12,Card,Social Media,183.22
243,315,2024-11-07,Card,Paid Ads,255.19
244,893,2023-06-10,Bank Transfer,Organic,43.15
245,1189,2024-06-07,PayPal,Referral,114.06
246,931,2023-10-26,Card,Paid Ads,74.57
247,1180,2023-02-16,Bank Transfer,Organic,490.3
248,127,2023-01-19,Bank Transfer,Social Media,143.81
249,1414,2023-03-04,PayPal,Referral,346.89
250,1533,2023-02-27,Card,Referral,139.46
251,142,2024-10-01,Bank Transfer,Email,224.62
252,915,2024-06-26,Bank Transfer,Email,36.45
253,1079,2024-11-07,PayPal,Paid Ads,136.32
254,1522,2024-11-02,PayPal,Email,305.72
255,1997,2024-08-23,Bank Transfer,Organic,488.08
256,158,2024-12-27,PayPal,Email,28.34
257,1466,2024-03-18,PayPal,Email,193.44
258,1249,2024-01-09,Card,Social Media,436.7
259,1475,2024-08-27,PayPal,Organic,314.3
260,206,2023-03-17,PayPal,Email,162.43
261,1670,2023-12-20,Bank Transfer,Social Media,317.99
262,564,2024-08-20,PayPal,Social Media,340.74
263,762,2024-03-05,PayPal,Email,391.2
264,1321,2024-08-15,PayPal,Organic,483.2
265,21,2024-09-18,Card,Referral,263.11
266,706,2023-01-29,PayPal,Email,340.67
267,1051,2024-06-23,Bank Transfer,Referral,207.7
268,230,2024-10-06,Bank Transfer,Organic,109.99
269,1275,2024-10-20,Bank Transfer,Organic,450.08
270,1889,2023-12-25,Card,Paid Ads,150.99
271,1435,2024-10-06,Bank Transfer,Paid Ads,484.36
272,253,2023-10-27,Bank Transfer,Referral,449.73
273,945,2023-08-01,PayPal,Email,404.86
274,1786,2023-11-27,Bank Transfer,Social Media,400.71
275,1570,2024-08-23,PayPal,Organic,208.6
276,1552,2024-08-28,PayPal,Email,294.13
277,1474,2023-04-27,Card,Paid Ads,124.83
278,679,2024-06-03,PayPal,Email,20.02
279,1727,2024-09-25,PayPal,Paid Ads,493.71
280,291,2023-04-15,Bank Transfer,Organic,158.03
281,111,2024-08-02,Bank Transfer,Referral,83.42
282,1703,2024-09-17,PayPal,Organic,330.66
283,1622,2023-10-09,PayPal,Paid Ads,484.39
284,1902,2023-03-03,Bank Transfer,Social Media,406.42
285,483,2024-07-27,Card,Email,438.0
286,1017,2024-03-17,Bank Transfer,Referral,277.14
287,103,2024-03-06,PayPal,Social Media,215.22
288,1335,2024-11-13,Bank Transfer,Referral,206.75
289,255,2024-06-07,Bank Transfer,Organic,465.59
290,245,2023-08-20,Card,Email,372.36
291,480,2024-10-03,Card,Referral,169.29
292,118,2024-10-11,Bank Transfer,Referral,342.4
293,988,2023-02-24,PayPal,Email,341.27
294,816,2024-10-03,PayPal,Referral,378.59
295,270,2023-12-31,Bank Transfer,Referral,212.24
296,1641,2023-03-23,Bank Transfer,Email,332.07
297,1805,2023-01-16,Card,Email,442.21
298,1777,2023-11-23,PayPal,Referral,45.86
299,1224,2023-05-07,Card,Organic,70.85
300,1934,2023-04-17,PayPal,Referral,29.83
301,574,2023-04-22,PayPal,Email,29.42
302,408,2024-06-25,Bank Transfer,Referral,95.19
303,929,2024-02-29,PayPal,Email,93.37
304,118,2023-07-03,Bank Transfer,Paid Ads,321.09
305,331,2023-08-19,Bank Transfer,Paid Ads,243.22
306,413,2024-08-23,Card,Email,475.68
307,476,2024-04-17,PayPal,Paid Ads,272.52
308,1893,2023-04-20,Bank Transfer,Paid Ads,20.78
309,1529,2024-04-16,Card,Paid Ads,51.14
310,792,2024-08-11,Bank Transfer,Email,110.49
311,1027,2024-03-12,Bank Transfer,Organic,80.96
312,690,2023-04-04,PayPal,Referral,336.47
313,1351,2023-10-30,Bank Transfer,Referral,111.76
314,381,2024-05-21,PayPal,Organic,494.49
315,1580,2024-02-19,Bank Transfer,Social Media,145.61
316,1251,2023-03-25,PayPal,Referral,263.38
317,1932,2023-10-01,Bank Transfer,Paid Ads,26.4
318,911,2024-05-24,PayPal,Organic,307.62
319,999,2023-09-24,Bank Transfer,Referral,411.43
320,1477,2023-01-27,Bank Transfer,Social Media,397.7
321,1698,2023-12-07,Bank Transfer,Referral,74.04
322,423,2023-12-08,Card,Referral,176.61
323,1133,2023-12-29,Bank Transfer,Social Media,426.85
324,1869,2023-05-07,Card,Paid Ads,310.58
325,1866,2023-07-16,Bank Transfer,Email,257.93
326,1935,2023-11-11,Card,Paid Ads,152.1
327,1193,2024-07-15,PayPal,Organic,107.2
328,859,2023-04-09,Bank Transfer,Organic,472.59
329,1112,2024-01-10,Card,Referral,172.02
330,1215,2024-01-04,Card,Organic,493.72
331,1325,2023-05-31,Card,Email,95.69
332,1185,2024-01-29,Card,Paid Ads,373.55
333,738,2023-01-21,PayPal,Referral,476.01
334,1900,2023-11-16,Bank Transfer,Referral,43.06
335,101,2023-05-18,Card,Paid Ads,484.02
336,1703,2024-06-07,PayPal,Referral,267.36
337,607,2024-04-15,Card,Organic,217.84
338,1899,2023-05-01,Card,Email,470.7
339,968,2024-07-25,Card,Referral,453.8
340,1193,2023-10-11,Card,Paid Ads,420.73
341,603,2024-08-07,PayPal,Referral,442.69
342,1149,2023-10-19,PayPal,Organic,193.93
343,515,2024-12-30,Bank Transfer,Email,301.28
344,1196,2024-05-29,Bank Transfer,Organic,28.19
345,1383,2024-07-06,PayPal,Organic,442.91
346,1693,2024-03-10,Bank Transfer,Referral,66.33
347,645,2023-11-13,Card,Social Media,78.97
348,904,2023-03-17,Bank Transfer,Paid Ads,195.04
349,1633,2023-06-12,Card,Referral,256.22
350,1647,2024-10-14,Card,Paid Ads,227.66
351,88,2024-11-15,Card,Referral,150.2
352,41,2023-07-19,PayPal,Email,23.91
353,1604,2023-12-04,PayPal,Email,304.93
354,860,2023-02-15,Card,Organic,231.88
355,679,2024-06-30,Card,Paid Ads,277.79
356,1210,2023-10-29,Card,Referral,192.26
357,1631,2023-07-19,Bank Transfer,Organic,171.93
358,428,2023-04-02,PayPal,Organic,313.66
359,1361,2023-06-19,Card,Referral,471.16
360,826,2024-12-13,PayPal,Paid Ads,493.46
361,1541,2023-10-24,Card,Organic,445.52
362,265,2023-12-15,PayPal,Organic,188.88
363,1065,2024-04-03,Bank Transfer,Social Media,372.91
364,958,2024-04-07,Card,Social Media,183.49
365,924,2024-10-15,Bank Transfer,Paid Ads,219.85
366,1258,2024-06-10,PayPal,Email,450.0
367,982,2024-11-15,Bank Transfer,Referral,375.13
368,1498,2023-07-13,Bank Transfer,Referral,391.21
369,1913,2024-05-18,PayPal,Organic,474.07
370,807,2024-10-31,Bank Transfer,Organic,367.3
371,135,2024-04-25,Card,Organic,270.23
372,1902,2024-01-08,Card,Organic,60.11
373,1327,2024-08-16,PayPal,Referral,411.42
374,1862,2024-01-06,Card,Paid Ads,98.33
375,438,2023-06-24,Card,Organic,176.79
376,661,2024-09-29,PayPal,Social Media,265.0
377,181,2024-02-01,Bank Transfer,Organic,247.57
378,316,2023-11-24,PayPal,Email,468.54
379,204,2023-05-25,PayPal,Email,273.25
380,1660,2024-04-19,PayPal,Social Media,175.97
381,1939,2023-10-26,PayPal,Referral,168.09
382,1138,2023-07-01,Card,Organic,61.6
383,783,2023-02-15,Card,Social Media,338.91
384,1038,2023-05-31,Card,Paid Ads,482.13
385,94,2023-07-15,PayPal,Social Media,498.02
386,1373,2024-07-17,Bank Transfer,Social Media,498.14
387,1904,2024-12-29,PayPal,Referral,127.41
388,1924,2023-05-04,PayPal,Referral,77.82
389,444,2023-11-18,Bank Transfer,Organic,245.38
390,706,2024-05-20,PayPal,Paid Ads,22.14
391,327,2023-08-20,Bank Transfer,Paid Ads,412.86
392,1221,2023-08-29,Card,Paid Ads,245.34
393,286,2024-07-03,Bank Transfer,Organic,375.17
394,388,2024-05-26,Bank Transfer,Email,96.33
395,1725,2023-07-30,PayPal,Email,316.61
396,93,2024-07-05,Card,Organic,243.34
397,869,2023-09-10,Card,Email,275.86
398,1677,2023-05-28,Bank Transfer,Organic,140.73
399,722,2024-06-15,Card,Email,51.84
400,740,2024-08-15,Card,Organic,22.35
401,149,2024-05-11,Bank Transfer,Email,114.11
402,1030,2023-12-02,PayPal,Organic,239.73
403,841,2023-01-11,Bank Transfer,Paid Ads,482.07
404,1592,2024-09-16,Card,Paid Ads,309.85
405,1822,2024-10-22,Bank Transfer,Email,118.39
406,74,2024-10-18,Card,Organic,198.84
407,713,2023-07-24,Card,Organic,442.52
408,1972,2023-06-20,Card,Social Media,86.08
409,717,2023-02-08,PayPal,Organic,462.39
410,252,2023-03-15,PayPal,Social Media,447.23
411,7,2023-02-03,Card,Social Media,474.68
412,1560,2024-08-12,Bank Transfer,Organic,353.06
413,988,2023-07-02,Bank Transfer,Referral,117.38
414,1654,2023-02-09,Bank Transfer,Organic,27.07
415,582,2023-12-11,Card,Social Media,246.78
416,1869,2023-05-03,Bank Transfer,Social Media,290.75
417,1320,2024-05-26,Card,Referral,103.75
418,1956,2023-06-11,Card,Paid Ads,350.14
419,1754,2023-05-27,PayPal,Paid Ads,86.02
420,1950,2024-12-04,Bank Transfer,Referral,487.89
421,506,2023-11-01,PayPal,Referral,69.0
422,652,2024-05-25,Card,Email,148.4
423,1538,2024-12-10,PayPal,Paid Ads,184.29
424,1185,2024-03-13,PayPal,Social Media,245.77
425,490,2024-08-29,Card,Social Media,203.46
426,1433,2023-03-11,PayPal,Referral,122.3
427,1135,2023-04-14,PayPal,Social Media,116.73
428,480,2024-05-02,PayPal,Social Media,385.62
429,501,2024-01-08,Card,Email,158.13
430,598,2023-04-06,PayPal,Referral,458.85
431,412,2023-07-14,Bank Transfer,Social Media,162.09
432,1127,2024-12-27,PayPal,Email,259.66
433,1769,2023-12-20,PayPal,Paid Ads,36.02
434,1735,2023-09-24,Card,Paid Ads,201.49
435,328,2024-02-12,Card,Referral,53.37
436,854,2023-08-09,Bank Transfer,Referral,408.64
437,1753,2024-08-16,Bank Transfer,Referral,459.41
438,1622,2024-11-06,PayPal,Organic,128.9
439,267,2023-01-08,PayPal,Paid Ads,420.22
440,731,2023-12-17,Bank Transfer,Social Media,394.38
441,1722,2023-01-23,PayPal,Referral,459.65
442,1583,2024-05-06,Card,Organic,465.64
443,1161,2024-12-09,Bank Transfer,Email,36.36
444,1292,2024-11-18,Card,Social Media,149.32
445,1324,2023-08-11,PayPal,Social Media,318.02
446,817,2024-02-02,Card,Paid Ads,216.73
447,1579,2024-08-06,Bank Transfer,Social Media,298.96
448,1667,2023-12-31,Card,Organic,470.2
449,1584,2024-01-02,Bank Transfer,Paid Ads,145.04
450,1018,2023-03-06,Card,Referral,467.96
451,302,2023-12-24,PayPal,Organic,260.98
452,1726,2023-08-08,Card,Referral,153.21
453,1593,2024-06-19,Bank Transfer,Organic,486.96
454,821,2024-03-31,Bank Transfer,Email,247.59
455,1756,2023-01-08,Bank Transfer,Email,61.87
456,190,2024-04-08,Bank Transfer,Email,89.56
457,1683,2023-05-06,Card,Email,106.47
458,1848,2023-09-04,Card,Organic,106.8
459,1296,2024-01-25,Card,Referral,460.03
460,294,2023-04-15,Bank Transfer,Paid Ads,420.49
461,523,2023-07-23,PayPal,Email,185.95
462,381,2023-10-08,Card,Paid Ads,98.09
463,1642,2024-09-10,PayPal,Email,61.49
464,352,2023-05-10,Bank Transfer,Organic,447.5
465,416,2024-08-31,Card,Paid Ads,374.77
466,573,2023-11-18,Card,Paid Ads,325.92
467,339,2024-08-27,Card,Organic,140.73
468,421,2024-10-26,Card,Paid Ads,90.7
469,1136,2023-09-20,Bank Transfer,Organic,93.1
470,1571,2024-07-17,Bank Transfer,Referral,51.73
471,98,2024-12-08,PayPal,Email,374.2
472,1385,2023-06-10,Card,Social Media,196.93
473,1894,2024-07-01,PayPal,Social Media,480.61
474,602,2023-09-20,Bank Transfer,Organic,78.25
475,113,2023-03-24,Bank Transfer,Referral,357.53
476,112,2024-02-06,Card,Email,343.61
477,1615,2023-04-20,PayPal,Email,277.6
478,490,2024-05-20,Card,Social Media,351.76
479,1957,2024-06-03,Card,Paid Ads,331.18
480,1574,2023-09-03,PayPal,Paid Ads,452.53
481,203,2024-10-06,Card,Social Media,428.72
482,1599,2023-11-30,Bank Transfer,Email,95.19
483,649,2024-03-22,Card,Referral,281.7
484,277,2023-10-07,Bank Transfer,Social Media,279.4
485,682,2024-11-11,Bank Transfer,Organic,134.49
486,1230,2024-05-12,PayPal,Email,133.32
487,145,2023-04-10,Bank Transfer,Social Media,131.51
488,854,2023-08-19,PayPal,Referral,226.14
489,1134,2023-03-11,Bank Transfer,Social Media,146.63
490,1497,2023-11-07,Card,Email,494.56
491,1367,2024-03-31,Card,Social Media,357.29
492,57,2023-06-21,Bank Transfer,Organic,332.3
493,732,2024-05-29,Bank Transfer,Social Media,306.29
494,1492,2024-12-11,PayPal,Paid Ads,422.16
495,138,2024-02-17,PayPal,Email,60.02
496,201,2024-09-01,PayPal,Email,175.96
497,1352,2024-03-13,PayPal,Paid Ads,181.61
498,1129,2023-10-02,Bank Transfer,Email,219.18
499,650,2024-08-24,Bank Transfer,Referral,180.82
500,719,2024-09-23,Bank Transfer,Social Media,96.76
501,1914,2023-04-01,PayPal,Organic,51.77
502,1574,2024-01-21,PayPal,Social Media,296.79
503,161,2024-11-22,Bank Transfer,Organic,320.61
504,52,2023-10-24,Bank Transfer,Organic,357.05
505,1824,2024-04-11,PayPal,Organic,425.74
506,60,2023-04-17,Bank Transfer,Email,188.41
507,55,2023-01-10,Bank Transfer,Social Media,187.17
508,1234,2024-01-19,Bank Transfer,Email,79.18
509,464,2023-01-07,Card,Referral,348.65
510,973,2023-02-04,Card,Referral,251.63
511,655,2024-01-01,Bank Transfer,Email,314.17
512,1246,2024-03-23,PayPal,Paid Ads,127.88
513,1531,2023-10-17,Card,Organic,414.28
514,1831,2024-07-25,Card,Social Media,351.17
515,1820,2023-05-10,PayPal,Organic,460.25
516,1119,2023-04-16,Bank Transfer,Referral,289.29
517,1056,2023-04-06,PayPal,Referral,466.15
518,1921,2024-01-13,PayPal,Paid Ads,200.15
519,1583,2024-07-21,PayPal,Referral,197.57
520,1170,2023-05-02,PayPal,Paid Ads,241.12
521,1721,2024-01-21,PayPal,Paid Ads,108.09
522,498,2023-09-22,Card,Paid Ads,313.72
523,1984,2023-01-10,Bank Transfer,Paid Ads,438.49
524,1921,2024-08-30,Card,Paid Ads,267.04
525,1169,2024-01-25,Bank Transfer,Social Media,135.09
526,1484,2023-10-02,Bank Transfer,Referral,204.81
527,636,2024-12-19,Card,Paid Ads,367.9
528,450,2024-05-17,PayPal,Organic,146.0
529,567,2023-04-22,PayPal,Email,127.77
530,1735,2024-09-22,Card,Referral,75.29
531,454,2024-01-12,Card,Social Media,291.2
532,466,2023-06-05,Card,Organic,389.01
533,1319,2023-10-01,Bank Transfer,Organic,328.55
534,754,2023-05-09,PayPal,Referral,358.51
535,1949,2023-11-27,PayPal,Social Media,365.63
536,308,2024-09-05,PayPal,Paid Ads,189.66
537,1698,2024-02-29,PayPal,Organic,133.9
538,453,2023-01-08,PayPal,Referral,57.09
539,1316,2023-07-16,PayPal,Organic,376.5
540,1704,2024-10-14,Bank Transfer,Organic,478.41
541,541,2023-06-26,Bank Transfer,Social Media,254.77
542,1452,2023-02-23,PayPal,Social Media,397.32
543,573,2023-05-12,PayPal,Email,107.2
544,812,2023-12-05,Card,Organic,134.6
545,1054,2023-06-11,Card,Email,365.37
546,1224,2024-02-27,PayPal,Email,211.72
547,1410,2023-10-26,PayPal,Email,266.75
548,1084,2023-09-23,Card,Organic,80.29
